keV, keV2 ph s-2 cm-2 keV-1
3.530795002556967, 0.09055492261312421
3.9908373046261, 0.07612163183128456
4.295154593968261, 0.06559579715177562
4.87464967581824, 0.062421165715534695
5.246361189619635, 0.06089196322308088
5.833880315778721, 0.05989338032181339
6.126807825831986, 0.059400223348252346
6.5671350129359025, 0.06780139970217101
6.840793928926178, 0.06505568696550997
7.392551774071136, 0.05203998394222607
7.923849722807419, 0.04197397793936292
8.458726754772618, 0.04027418285633089
8.811210142095904, 0.03769653624021355
9.178378282108428, 0.03441944910613926
9.599964036426513, 0.0389640192928624
10, 0.030154607212761468
10.416709745499709, 0.04197397793936292
10.675021675923064, 0.03677304119627103
11.302942543353476, 0.03385499574433001
11.870474901518143, 0.028224616036938335
12.775651013835008, 0.039287540263238205
13.527128798846315, 0.03385499574433001
15.541371306821816, 0.03528386533822258
17.211375312200857, 0.03168819286889133
