e (keV), E F_E (erg cm-2 s-1)
3.048299321867964, 1.338121501767985e-10
3.1894132810815043, 1.3480662413596335e-10
3.408886439045318, 1.3530386111554577e-10
3.55721190393855, 1.3530386111554577e-10
3.741752067989615, 1.3530386111554577e-10
3.956877267470323, 1.3480662413596335e-10
4.195522239110152, 1.328176762176337e-10
4.4131765097, 1.308287164442393e-10
4.605198885295388, 1.2983424841260682e-10
4.882946307829143, 1.278452945667448e-10
5.163681074455332, 1.2685080875251524e-10
5.504337443857722, 1.2337016175050303e-10
5.836313450945955, 1.2287291884338826e-10
6.1718600638549574, 1.2287291884338826e-10
6.544093840730551, 1.248618726892503e-10
6.810682357678093, 1.2685080875251524e-10
6.938779334745946, 1.188950230067289e-10
7.144961788596249, 1.0994475144671308e-10
7.3182028383735735, 1.0099447395916484e-10
7.596078673789574, 1.0348065885707693e-10
8.054211172636778, 1.0149171093874725e-10
8.337808722728795, 9.204418461655188e-11
8.47204555845299, 8.359116781871552e-11
8.983009118563809, 7.911603500247375e-11
9.449032253248612, 7.116023147409037e-11
9.652407699574667, 6.270719096612453e-11
9.80781177151066, 5.574587325197069e-11
10.23456351775013, 4.977900578685226e-11
10.794208489101178, 4.3314936907345564e-11
11.354184899230889, 3.5856370358544556e-11
11.6604843470506, 2.9889502893426105e-11
12.36374810472017, 2.1933723075172167e-11
12.901708976467102, 1.8950301197677673e-11
13.97427694066045, 1.2983445587623937e-11
13.534949393462227, 1.546964234060076e-11
14.582313770702354, 5.524879038822952e-12
15.33881535109731, 4.0331799551404396e-12
16.525775264038735, 2.5414571613284593e-12
17.290793377369823, 7.016601832634931e-12
17.15326289195712, -4.41986055282539e-12
18.579273929776722, -4.917109387472525e-12
19.387689308292053, -2.430936344625146e-12
20.502333472052698, -3.922611718178257e-12
21.971571687818784, 6.022127873470086e-12
23.48350187647052, 1.6464116299765587e-11
24.966210266371515, -3.922611718178257e-12
