e (keV), norm counts (cts cm-2 s-1)
0.5342897974339027, 8.282691689231585
0.588123837508529, 8.358679064800542
0.6311382993847089, 8.571442339521912
0.6830600527914321, 8.693022285366109
0.7497639075702127, 8.829798909187843
0.8229814690944408, 9.012167740950156
0.8757237976154448, 9.148944727106551
0.9504470726446906, 9.270523948281427
1.0315457383584856, 9.407300209768502
1.1038701355138727, 9.498485350318978
1.191314341987231, 9.559274236237094
1.3262427162229211, 9.559274236237094
1.4848143962939546, 9.513682390631176
1.6069656008134494, 9.346510961515724
1.3875309363608626, 9.528880155612697
1.7051296935309213, 9.346510961515724
1.8144061643196048, 9.17933917006561
1.9636718900644676, 8.95137776802806
2.1615275037096864, 8.90578556008748
2.0602259096118396, 9.027364781262357
2.255040197656159, 8.799403741559464
2.399558080071807, 8.723416365990508
2.5823391375437494, 8.66262711773773
2.779043139931269, 8.601837507150291
2.999186281192059, 8.541047896562855
3.4055244814602745, 8.434666078034839
3.227642697639885, 8.525850493915994
3.6135545062199736, 8.267493924250065
4.034202958602892, 8.13071766276299
4.6067057710418435, 8.069928052175552
4.30487930881244, 8.161112468056709
3.845136001129354, 8.145915065409849
4.92969408399153, 7.993941038941255
5.275330801901528, 7.8723614554317205
5.693216950168633, 7.765979636903703
6.023963235087966, 7.614005610435111
6.464546527914359, 7.538018597200813
6.85944380786943, 7.553215999847673
7.1360217733199205, 7.2948597925164025
7.278464026849304, 7.112490598419428
7.657939296364733, 6.960516571950835
8.14871286215012, 6.8237392234597785
8.573555437730159, 6.56538374079783
8.94446974267996, 6.322225298448079
9.331425739730838, 5.987881715547852
9.845696448945501, 5.683932937941344
10.070621501480913, 5.486367065866831
10.685804580770064, 5.258405663829279
11.05406103194201, 5.015247221479529
11.499766041745358, 4.72649620885454
11.99726936643123, 4.43774519622955
12.481011707386918, 4.133797143292363
12.947641894230584, 3.8906387009426115
13.73856584055179, 3.5562951180423834
14.454849654810834, 3.2827418703989153
13.469696986989959, 3.6930713795294587
15.037684181286147, 3.1155700789488012
15.866436477511275, 2.8116220260116123
16.552850868014893, 2.6292517449106594
17.317789861081458, 2.446883637817667
18.479733422522116, 2.1581326251926787
20.51474322450142, 1.808592001980251
19.60860310644758, 1.9909615584118843
21.645357196793668, 1.5350387543367812
23.03252236489021, 1.3982617681803866
24.927358686559394, 1.033523379986441
27.05433196832663, 0.6839834814433343
