keV, keV2 ph s-2 cm-2 keV-1
3.18820519265011, 4.410870112728997
3.5889275774903924, 4.71248229221969
3.9908373046261, 4.993261089009747
4.492439983575431, 5.3346946485139775
4.89459204514401, 5.6994772965480625
5.246361189619635, 5.84260923543231
5.739384543075835, 6.398884731908372
6.052223925484609, 6.614039148119492
6.382115393957901, 7.425679339400619
7.096820353725332, 7.184118053392254
7.483650140066086, 6.780143979721452
7.732107062485419, 6.893188479666702
8.597994983757049, 6.893188479666702
8.087261980730654, 7.008120519424451
8.597994983757049, 6.893188479666702
9.029709145790807, 7.1249674484240515
9.52189582735896, 7.675361453202892
10.502110274371338, 7.7390828871502535
9.91868250604831, 7.303900842470547
11.211029847162932, 7.868118758532295
11.82211021813391, 8.475918516317625
11.82211021813391, 8.475918516317625
12.517504562837821, 8.617239852122445
13.253803051194906, 9.437684527636556
13.91929011984482, 9.674700419225234
14.798331859786277, 10.251139776892895
15.352186416444283, 10.595825580223549
16.188995395020026, 10.861922484137173
17.211375312200857, 12.094431745494383
17.211375312200857, 12.094431745494383
18.07557615023257, 12.094431745494383
19.37467128750636, 13.245938759253065
20.85205926343931, 13.691322115784153
18.07557615023257, 12.094431745494383
21.72098489432054, 14.035160140714762
23.665384261467686, 15.119354113353287
23.665384261467686, 15.119354113353287
25.057408082953614, 15.888298049495857
26.208357189997965, 15.888298049495857
27.863487567118103, 16.696342548490854
29.0245862484009, 16.696342548490854
30.110872595520753, 17.40101787178088
31.365622001126116, 17.691146372589238
32.94053493329781, 17.986112208063943
35.307936278533866, 18.900850726836953
36.33152493431695, 19.53637565949836
37.232497369839336, 20.1932655937198
38.311864766421905, 20.872250984727387
38.311864766421905, 20.872250984727387
39.74575617229108, 20.529949454187033
44.92439983575431, 19.69856425158816
49.34718029804674, 20.027003866493853
49.34718029804674, 20.027003866493853
51.19408851211154, 20.027003866493853
55.09786375256732, 19.53637565949836
59.78547962573683, 18.900850726836953
59.78547962573683, 18.900850726836953
62.02308437631013, 18.59087617611909
66.75259236506213, 17.986112208063943
72.1366274306013, 17.545482444256606
72.1366274306013, 17.545482444256606
75.45004223597877, 18.43781139431294
78.27389766025078, 18.43781139431294
90.29709145790805, 16.020203907072688
114.42237538600034, 13.355904916523702
165.90447557389155, 8.336918114242426
