keV, keV2 ph s-2 cm-2 keV-1
3.6183511018745707, 0.9244611701518102
3.9583832746036993, 0.979542352199518
4.419674255495181, 1.1088761761288661
4.776151876191095, 1.1749460868379975
5.246361189619635, 1.2868125850814434
5.810110940356505, 1.4567173926506398
6.177037950449493, 1.5181983906571352
6.594001401404773, 1.6490556485477448
7.039110789106303, 1.6220117231295488
7.453161897087047, 1.6086555830631621
7.9562664805568115, 1.5308028907986964
8.562963587913277, 1.6627459060743808
9.215927361875421, 1.6904689956378307
9.718264328944736, 1.7186543143922453
10.247982417693493, 1.8361739572989255
10.895170903440727, 1.913670736695843
11.302942543353476, 2.010995894296586
11.725975780517972, 2.1663430077309704
12.415715352679934, 2.2954179082668285
13.199802179829096, 2.3725993712953577
13.749850800529398, 2.4121579019333286
14.980691604171959, 2.708165267036708
16.86360661011551, 3.0657389369680863
18.07557615023257, 3.3299812125889496
18.599600274368125, 3.5576801681975376
19.45391862458988, 3.6773055693676158
20.099788041251173, 3.385502243832479
20.93736579717797, 3.928755575195958
21.456584010281063, 3.5576801681975376
22.16892458476508, 4.1285635924262065
24.15342220965043, 4.1285635924262065
25.366190354919848, 4.410870112728997
26.748837442797974, 4.559181845988185
27.749961464300444, 4.52164371502402
29.382256030326932, 4.952147004053695
32.143434278756025, 5.378982628503286
35.88926180153079, 4.830828610608311
37.691298510545934, 5.03471651439459
44.016651622514935, 6.614039148119492
48.94590139450475, 7.008120519424451
50.77779101381693, 6.0891987229130695
67.57518411365336, 5.74679365729409
95.60846527426142, 6.724318179292981
127.23598309841462, 5.6994772965480625
172.81787675325754, 2.7533176280311715
