keV, keV2 ph s-2 cm-2 keV-1
3.6183511018745707, 0.3543003774477099
4.07313969017944, 0.4429141520422791
4.437753575983631, 0.5182534578501603
4.87464967581824, 0.6165185984664852
5.289375105085746, 0.7037146509336555
5.739384543075835, 0.8371450972193539
6.151870424532929, 1.0041423590418301
6.460762159208837, 1.1945360527363569
7.125853704210955, 1.127365442261396
7.575874060256982, 1.0639711002220735
8.087261980730654, 0.9958747293105112
8.633169694316825, 1.0465227656326292
9.483100119459438, 1.0997466516151368
10.247982417693493, 1.2245353631334206
11.256890195662699, 1.493300477670928
12.164841808042977, 1.5308028907986964
13.146021327886912, 1.7329230546849237
13.749850800529398, 1.913670736695843
14.499314858919117, 2.0958711342317313
15.2896359589902, 2.276518530929241
16.794898070551497, 2.472736294239751
18.149523990454238, 2.9906328545017287
17.56632269259293, 2.7992250068253375
18.98318418233336, 3.0911903252177737
20.347477594650744, 3.4419489814729998
21.632485607988457, 3.896408073760436
22.62611069364587, 4.094570966981194
23.472934148198718, 4.52164371502402
24.2522441819481, 4.751602868348885
29.502459909651396, 4.71248229221969
32.806310297992816, 4.447490368225533
34.31319912616567, 4.267383010503489
37.53773028906136, 4.952147004053695
40.565426406607365, 5.468668972911904
43.30368061835955, 5.84260923543231
46.79642513793931, 5.247207555928406
82.54044262944319, 4.635199260711572
135.27128798846306, 4.374551385285718
