E (keV), E * Flux (counts cm-2 s-1) 
0.42433180654511, 0.0004792344479929437
0.46725363602307146, 0.0012222907997907117
0.49440591194225014, 0.0016243078399550434
0.5390159981302226, 0.0007627027259684969
0.5994842714255179, 0.0006825939354141878
0.6259457425958563, 0.0011246826503806984
0.6756562417981659, 0.0013944517157343278
0.7125474549777853, 0.0019861773358724596
0.7341770890801639, 0.0017652782687652803
0.7640412874359962, 0.0021735752811714694
0.7846226261909626, 0.001972449552457197
0.816538802943902, 0.00260308213721579
0.844125260241503, 0.002329673944215028
0.8385342919133006, 0.0029697289328034474
0.8991328443838784, 0.002345887149287888
0.8843187388075772, 0.00348332447016602
0.9021253705350921, 0.004792344479929442
0.9141951158243586, 0.004471235782285822
0.9295097104030314, 0.003161004751829503
0.9513819263105283, 0.00459701400007022
0.9835240079718673, 0.00517226387543656
1.0066672298358326, 0.004661224166147592
1.016751675631323, 0.005621151524186064
1.0269374693402167, 0.0062374341869363215
1.054600565934888, 0.005699663809612781
1.0066672298358326, 0.004661224166147592
1.033784297475336, 0.004171642815853555
1, 0.00373348479240099
1.0866133451624054, 0.005136514943573237
1.1084933787050628, 0.0057792765218763345
1.1011513980011687, 0.00414281120710175
1.1383530243966222, 0.003161004751829503
1.0938580460772855, 0.002694934236854567
1.1574227117689064, 0.0037594677222122248
1.2246811535761548, 0.00414281120710175
1.2328463843026596, 0.0036820552039385415
1.2328463843026596, 0.0050657591384696945
1.2045033166528298, 0.002908577240998886
1.249340923005745, 0.0026211989746007165
1.3351839511379482, 0.0027515932585970237
1.3440859294133, 0.003919212193651948
1.330754885044739, 0.005101014783147684
1.4316739999066062, 0.0059832025140568465
1.3757135039478463, 0.006731913851557725
1.4948686525098627, 0.008404736080484362
1.460501707945506, 0.005208260750216582
1.389495368575757, 0.004471235782285822
1.4653626020638986, 0.004409644238007482
1.4460160172296752, 0.00365660669310817
1.5048357622292943, 0.003205157029826321
1.4269248574651385, 0.00279002649793421
1.5556760742205584, 0.0020279352620283567
1.5712603016403552, 0.0028289965585771354
1.690418382997919, 0.0025318600118551583
1.6351746215159908, 0.002362213970251169
1.6351746215159908, 0.0037076808261614796
1.5608532364859253, 0.003838509051511413
1.5712603016403552, 0.0045023545281829315
1.6681004784697577, 0.004792344479929442
1.81861235921941, 0.0055054016908327634
1.8005748204583651, 0.0045023545281829315
1.741731088686259, 0.0038921232860048066
1.8246651300395145, 0.0027136894457319696
1.7187357234311256, 0.0030112090107489754
1.9761284592050952, 0.002479724774383804
1.8307380459083504, 0.00193183415200533
1.9242928787813274, 0.0028289965585771354
1.9306973792934774, 0.003161004751829503
2.0840261914377316, 0.003032166314861597
1.9959252663411537, 0.002694934236854567
2.118937793633752, 0.0021436337952893455
2.111908862880499, 0.0016243078399550434
2.2198328604690962, 0.0013469247238890026
2.2272209877383533, 0.0022817020564551327
2.3178178891527326, 0.0020849818044039754
2.3723582696763805, 0.0018275677037065164
2.404098603099101, 0.002676307766370921
2.380254037477989, 0.0025143614865742463
2.586415802000278, 0.002676307766370921
2.6826950666496363, 0.0028685109386477206
2.5102172549930875, 0.0034115975503104475
2.745821341776227, 0.00205626071348901
2.745821341776227, 0.00205626071348901
2.924755168580758, 0.0019184819702268143
2.535363747391584, 0.002128817726284889
2.819787713492903, 0.001547334599424281
3.0742177118320893, 0.0014842667654518082
3.0844474786340825, 0.001753077264704062
2.9053824624031996, 0.0022817020564551327
3.351601792736326, 0.0026578100357273517
3.1886543801913105, 0.001972449552457197
3.3073519611094104, 0.0018023925496305725
3.511192341085133, 0.001494596911873658
3.511192341085133, 0.0013010171606347004
3.318359608418379, 0.0011483282807155072
3.5228761846554804, 0.001071384751666977
3.739998676908337, 0.0011643680914921576
3.815308455255132, 0.0009995971404625176
4.050451615013826, 0.0010135594796778415
3.9311222690682186, 0.0009326196230310219
4.215214930991061, 0.0008404730521420426
5.480455929507317, 0.0005983201524703539
4.415923259237903, 0.0007215375440288316
4.798401144700968, 0.0008701299013921499
4.519833983220668, 0.0010135594796778415
4.328760782297994, 0.0012654204324384223
4.010279300859178, 0.001494596911873658
4.050451615013826, 0.001283095358116524
3.8663531299014346, 0.0020994927857367882
4.475004924266718, 0.0014638201745207492
4.846469875672417, 0.0011724714308862967
4.895023244825652, 0.001310071933051305
4.766620987040067, 0.0016933267055290043
5.145169945279339, 0.0018402865350426814
5.145169945279339, 0.0013010171606347004
5.572262749550187, 0.001116909595117556
5.5537802248865376, 0.000958854862836948
5.1967108400435915, 0.000972247793757205
6.322162515833744, 0.0010566268858420787
6.014793058675431, 0.0009134160273893906
6.557506937955815, 0.0014537032272129886
6.557506937955815, 0.0019052227042722207
6.734149580045255, 0.00205626071348901
6.846957869462985, 0.0016933267055290043
6.915550527890158, 0.0013752428313116725
6.984828132621422, 0.0008701299013921499
7.268950718216335, 0.0007627027259684969
7.390720164732631, 0.0006151509083699906
7.79426013816819, 0.0006412894375379981
7.317416801996982, 0.0006502467317748188
7.317416801996982, 0.0006502467317748188
7.898538855741717, 0.0007787382506159046
7.79426013816819, 0.0006412894375379981
7.951202749165525, 0.0005429564448396484
8.668638585585601, 0.0005779274610610318
8.813852807336499, 0.0006368568520557895
8.90214977170623, 0.0004893101636564992
9.111625519692996, 0.00039464876804974397
9.577250082748975, 0.0003435339760018611
9.737685069575237, 0.0004348898244537882
10.167523199898078, 0.0004057502444979511
10.511022497631865, 0.00035075664264751216
11.57422345015249, 0.00035319759249454683
12.493405271258743, 0.00032725436538382733
13.307544633671473, 0.00031610047518295064
