wavelength (um), flux (W m-2 um-1)
1.8985700338404414, 7.232876861190408e-15
1.9104861457652718, 6.851805860519065e-15
1.9200190262138643, 6.537982620620584e-15
1.9333651042982534, 6.358655080413722e-15
1.9424213293603263, 6.1643835933684474e-15
1.960057169554312, 6e-15
1.972449936865662, 5.7982567176814166e-15
1.9881792009699295, 5.6189289993286574e-15
2.002478544370998, 5.484433121491138e-15
2.0163012323855467, 5.36488154678383e-15
2.030123920400096, 5.163138086319348e-15
2.0434699530281253, 5.170609881592656e-15
2.0544327541799166, 5.551681060409898e-15
2.0644422900150285, 5.148194139480934e-15
2.0744518258501405, 4.8941470432279035e-15
2.0935176322036853, 4.7222914764402496e-15
2.114013313804069, 4.520548015975768e-15
2.131172544067895, 4.4159400318150756e-15
2.143565265922885, 4.318803842927692e-15
2.1559580332342354, 4.445827925491903e-15
2.164060992979629, 4.535491962814182e-15
2.169304065862265, 4.251556616592528e-15
2.1816968331736146, 4.117061095046804e-15
2.1959961765746834, 3.9601494750975635e-15
2.211248785292431, 3.8331253925333535e-15
2.2269780493966986, 3.735989916229564e-15
2.245090544977204, 3.638854083633977e-15
2.255100080812316, 3.526774660491774e-15
2.2708293449165833, 3.5043585620882543e-15
2.2822688923676138, 3.3773348358158414e-15
2.2994280317187203, 3.3325029953006004e-15
2.31182079903007, 3.2129514205932917e-15
2.3251668771144596, 3.1905353221897734e-15
2.3399427849893284, 3.138231686401224e-15
2.3556720490935956, 3.153175633239638e-15
2.37426124551698, 3.0112072475452167e-15
2.388560543461689, 2.936487513353149e-15
2.4009533107730388, 2.8916560291297043e-15
2.418112541036865, 2.8318805980678474e-15
2.429075342188656, 2.8169362949376372e-15
2.4428979847468457, 2.7347447654722613e-15
2.455290752058196, 2.7198004623420508e-15
2.4681602656687844, 2.660024674988396e-15
2.491992489518445, 2.57783314552302e-15
2.480076377593615, 2.630136781311569e-15
2.502478544370998, 2.5031130550391555e-15
2.5191611192483045, 2.473225161362328e-15
2.5129647810489892, 2.488168751908945e-15
2.528217389766737, 2.383561480331847e-15
