lambda (um), lambda u_lambda (ev cm-3)
0.9529879890340571, 0.0021524826348985455
1.051630480075606, 0.0063681609976427266
1.1230006859540196, 0.0027046627570214265
1.2806020354645447, 0.004786822111916009
1.5765894797649156, 0.00245250672855336
1.9198603835957526, 0.002033042113002222
2.0501562276445586, 0.0022976026952419228
3.007024373283397, 0.0024128271984846287
3.176148826872914, 0.005634890452294973
3.3182739145063893, 0.09393887023482292
3.543476384524533, 0.00390390704293485
3.7839627502694726, 0.0024128271984846287
4.315002172951043, 0.0021176588935349627
4.867009842276848, 0.0025545819498573705
5.197320921567713, 0.005543722586155112
5.7983947639423645, 0.009191788946213666
6.191916473308033, 0.060971078753533754
6.6121385587787325, 0.01722374127722048
7.706940976842594, 0.07415313844044148
9.592658343597236, 0.00926705413459601
11.303996762943347, 0.06723985872910329
12.071156512974744, 0.026107480314559967
12.890393963750974, 0.03677268357292306
13.467208361183312, 0.020777414068411597
15.357189585957764, 0.016004798979672177
17.321797271182003, 0.027194093778153076
18.296048409557013, 0.020777414068411597
21.09329504522629, 0.01694508198115985
27.130625052758507, 0.017364781308825062
42.031427511307385, 0.026321276846435673
63.01291916630702, 0.058534837392721556
82.84206050033926, 0.10275573813902471
101.98936214079977, 0.1291159471708413
147.96258381475954, 0.16899070301053637
205.46485636221874, 0.11058172306345512
247.47769614399715, 0.07236091698107984
304.677264439814, 0.038933081171582125
404.9620264948991, 0.014751328325081439
607.1139522139474, 0.003316354449068264
843.0557777595075, 0.0009522442840784751
1096.285664344162, 0.0003040049917258389
